"","OTU","phylum","family","genus","soil","Abundace_mean","%","Strain"
"1","ASV7","Deinococcus-Thermus","Deinococcaceae","Deinococcus","BX+",5.82216090653454,1,"LDE1"
"2","ASV1","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",4.58707188290693,1,"LSP13"
"3","ASV1","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",4.58707188290693,1,"LMA1"
"4","ASV1","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",4.58707188290693,1,"LMC3"
"5","ASV1","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",4.58707188290693,1,"LBH2"
"6","ASV1","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",4.58707188290693,1,"LBH3"
"7","ASV1","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",4.58707188290693,1,"LBH7"
"8","ASV1","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",4.58707188290693,1,"LBO4"
"9","ASV1","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",4.58707188290693,1,"LBO6"
"10","ASV1","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",4.58707188290693,1,"LWH4"
"11","ASV1","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",4.58707188290693,1,"LWH8"
"12","ASV1","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",4.58707188290693,1,"LWH9"
"13","ASV1","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",4.58707188290693,1,"LWS12"
"14","ASV1","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",4.58707188290693,0.997368421052632,"LWS2"
"15","ASV20","Proteobacteria","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","BX+",1.51748075174564,1,"LRH12"
"16","ASV20","Proteobacteria","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","BX+",1.51748075174564,1,"LRH13"
"17","ASV20","Proteobacteria","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","BX+",1.51748075174564,1,"LRH11"
"18","ASV20","Proteobacteria","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","BX+",1.51748075174564,1,"LRC7.O"
"19","ASV20","Proteobacteria","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","BX+",1.51748075174564,1,"LRC7.S"
"20","ASV20","Proteobacteria","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","BX+",1.51748075174564,0.997368421052632,"LRH11"
"21","ASV13","Actinobacteria","Streptomycetaceae","Streptomyces","BX+",1.34485100291744,0.976623376623377,"LMG2"
"22","ASV13","Actinobacteria","Streptomycetaceae","Streptomyces","BX+",1.34485100291744,0.971428571428571,"LMF1"
"23","ASV25","Actinobacteria","Streptomycetaceae","Streptomyces","BX+",0.812925659581106,0.984415584415584,"LMG1"
"24","ASV25","Actinobacteria","Streptomycetaceae","Streptomyces","BX+",0.812925659581106,0.984415584415584,"LMG2"
"25","ASV25","Actinobacteria","Streptomycetaceae","Streptomyces","BX+",0.812925659581106,0.971428571428571,"LMF1"
"26","ASV50","Proteobacteria","Burkholderiaceae","Pseudoduganella","BX+",0.694770579490673,0.970430107526882,"LMS1"
"27","ASV32","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",0.687685150324391,0.994736842105263,"LWS2"
"28","ASV32","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",0.687685150324391,0.981578947368421,"LMC3"
"29","ASV32","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",0.687685150324391,0.978947368421053,"LSP13"
"30","ASV32","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",0.687685150324391,0.978947368421053,"LMA1"
"31","ASV32","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",0.687685150324391,0.978947368421053,"LBH2"
"32","ASV32","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",0.687685150324391,0.978947368421053,"LBH3"
"33","ASV32","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",0.687685150324391,0.978947368421053,"LBH7"
"34","ASV32","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",0.687685150324391,0.978947368421053,"LBO4"
"35","ASV32","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",0.687685150324391,0.978947368421053,"LBO6"
"36","ASV32","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",0.687685150324391,0.978947368421053,"LWH4"
"37","ASV32","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",0.687685150324391,0.978947368421053,"LWH8"
"38","ASV32","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",0.687685150324391,0.978947368421053,"LWH9"
"39","ASV32","Proteobacteria","Sphingomonadaceae","Sphingobium","BX+",0.687685150324391,0.978947368421053,"LWS12"
"40","ASV44","Actinobacteria","Streptomycetaceae","Streptomyces","BX+",0.594378825272445,0.976623376623377,"LMG2"
"41","ASV122","Actinobacteria","Microbacteriaceae","Microbacterium","BX+",0.494842960851321,1,"LMI62"
"42","ASV122","Actinobacteria","Microbacteriaceae","Microbacterium","BX+",0.494842960851321,1,"LMI11"
"43","ASV122","Actinobacteria","Microbacteriaceae","Microbacterium","BX+",0.494842960851321,1,"LMI13"
"44","ASV122","Actinobacteria","Microbacteriaceae","Microbacterium","BX+",0.494842960851321,1,"LMI14"
"45","ASV122","Actinobacteria","Microbacteriaceae","Microbacterium","BX+",0.494842960851321,1,"LMI15"
