Sample	Name	Strain	Treatment	Block	Compound	Compound_name	M	Type	Std_conc	RT	Area	ng.mL_QuanLynx	ng.mL_adj	uMol
1	20191209_LT_LMI1_MBOA	LMI1	MBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
2	20191209_LT_LMI1_Ctrl	LMI1	Ctrl	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
3	20191209_LT_LMI1_DG	LMI1	DG	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
4	20191209_LT_LBA112_MBOA	LBA112	MBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
5	20191209_LT_LBA112_Ctrl	LBA112	Ctrl	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
6	20191209_LT_LBA112_DG	LBA112	DG	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
7	20191209_LT_LAR12_MBOA	LAR12	MBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
8	20191209_LT_LAR12_Ctrl	LAR12	Ctrl	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
9	20191209_LT_LAR12_DG	LAR12	DG	1	1	HDMBOA-Glc	387.1	Analyte	NA	2.54	2.309	2	1.866954497	0.004822926
10	20191209_LT_LRH8-S_MBOA	LRH8-S	MBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
11	20191209_LT_LRH8-S_Ctrl	LRH8-S	Ctrl	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
12	20191209_LT_LRH8-S_DG	LRH8-S	DG	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
13	20191209_LT_LME1_MBOA	LME1	MBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
14	20191209_LT_LME1_Ctrl	LME1	Ctrl	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
15	20191209_LT_LME1_DG	LME1	DG	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
16	20191209_LT_LST15_DIMBOA	LST15	DIMBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
17	20191209_LT_LST15_DG	LST15	DG	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
18	20191209_LT_LST15_MBOA	LST15	MBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
19	20191209_LT_LST15_Ctrl	LST15	Ctrl	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
20	20191209_LT_LMX9_DIMBOA	LMX9	DIMBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
21	20191209_LT_LMX9_DG	LMX9	DG	1	1	HDMBOA-Glc	387.1	Analyte	NA	2.54	2.008	1.8	1.623579312	0.004194212
22	20191209_LT_LMX9_MBOA	LMX9	MBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
23	20191209_LT_LMX9_Ctrl	LMX9	Ctrl	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
24	20191209_LT_LMI14_DIMBOA	LMI14	DIMBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
25	20191209_LT_LMI14_DG	LMI14	DG	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
26	20191209_LT_LMI14_MBOA	LMI14	MBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
27	20191209_LT_LMI14_Ctrl	LMI14	Ctrl	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
28	20191209_LT_LBA20_DIMBOA	LBA20	DIMBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
29	20191209_LT_LBA20_DG	LBA20	DG	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
30	20191209_LT_LBA20_MBOA	LBA20	MBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
31	20191209_LT_LBA20_Ctrl	LBA20	Ctrl	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
32	20191209_LT_LMQ1_DIMBOA	LMQ1	DIMBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
33	20191209_LT_LMQ1_DG	LMQ1	DG	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
34	20191209_LT_LMQ1_MBOA	LMQ1	MBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
35	20191209_LT_LMQ1_Ctrl	LMQ1	Ctrl	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
36	20191209_LT_LMG1_DIMBOA	LMG1	DIMBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
37	20191209_LT_LMG1_MBOA	LMG1	MBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
38	20191209_LT_LMG1_Ctrl	LMG1	Ctrl	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
39	20191209_LT_LMG1_DG	LMG1	DG	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
40	20191209_LT_NBC_DIMBOA	NBC	DIMBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
41	20191209_LT_NBC_MBOA	NBC	MBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
42	20191209_LT_NBC_Ctrl	NBC	Ctrl	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
43	20191209_LT_NBC_DG	NBC	DG	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
44	20191209_LT_LMF1_DIMBOA	LMF1	DIMBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
45	20191209_LT_LMF1_MBOA	LMF1	MBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
46	20191209_LT_LMF1_Ctrl	LMF1	Ctrl	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
47	20191209_LT_LMF1_DG	LMF1	DG	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
48	20191209_LT_LRC7-O_DIMBOA	LRC7-O	DIMBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
49	20191209_LT_LRC7-O_MBOA	LRC7-O	MBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
50	20191209_LT_LRC7-O_Ctrl	LRC7-O	Ctrl	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
51	20191209_LT_LRC7-O_DG	LRC7-O	DG	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
52	20191209_LT_LBA21_DIMBOA	LBA21	DIMBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
53	20191209_LT_LBA21_MBOA	LBA21	MBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
54	20191209_LT_LBA21_Ctrl	LBA21	Ctrl	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
55	20191209_LT_LBA21_DG	LBA21	DG	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
56	20191209_LT_T0_Ctrl	T0	Ctrl	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
57	20191209_LT_T0_MBOA	T0	MBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
58	20191209_LT_T0_DIMBOA	T0	DIMBOA	1	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
59	20191209_LT_T0_DG	T0	DG	1	1	HDMBOA-Glc	387.1	Analyte	NA	2.54	85.33	66.2	68.9940352	0.178233106
1	20191210_LT_LMI1_MBOA	LMI1	MBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
2	20191210_LT_LRH13_MBOA	LRH13	MBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
3	20191210_LT_LRH13_Ctrl	LRH13	Ctrl	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
4	20191210_LT_LRH13_DG	LRH13	DG	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
5	20191210_LT_LRH13_DIMBOA	LRH13	DIMBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
6	20191210_LT_LST17_MBOA	LST17	MBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
7	20191210_LT_LST17_Ctrl	LST17	Ctrl	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
8	20191210_LT_LST17_DG	LST17	DG	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
9	20191210_LT_LST17_DIMBOA	LST17	DIMBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
10	20191210_LT_LMI13_MBOA	LMI13	MBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
11	20191210_LT_LMI13_Ctrl	LMI13	Ctrl	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
12	20191210_LT_LMI13_DG	LMI13	DG	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
13	20191210_LT_LMI13_DIMBOA	LMI13	DIMBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
14	20191210_LT_LMO1_MBOA	LMO1	MBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
15	20191210_LT_LMO1_Ctrl	LMO1	Ctrl	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
16	20191210_LT_LMO1_DG	LMO1	DG	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
17	20191210_LT_LMO1_DIMBOA	LMO1	DIMBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
18	20191210_LT_LMI1x_MBOA	LMI1x	MBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
19	20191210_LT_LMI1x_Ctrl	LMI1x	Ctrl	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
20	20191210_LT_LMI1x_DG	LMI1x	DG	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
21	20191210_LT_LMI1x_DIMBOA	LMI1x	DIMBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
22	20191210_LT_LRC7-S_DIMBOA	LRC7-S	DIMBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
23	20191210_LT_LRC7-S_DG	LRC7-S	DG	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
24	20191210_LT_LRC7-S_MBOA	LRC7-S	MBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
25	20191210_LT_LRC7-S_Ctrl	LRC7-S	Ctrl	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
26	20191210_LT_LMI15_DIMBOA	LMI15	DIMBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
27	20191210_LT_LMI15_DG	LMI15	DG	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
28	20191210_LT_LMI15_MBOA	LMI15	MBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
