"","Strain","Strain_pure","Column","Row","Well","Replicate","Plate","Phylum","Class","Order","Family","Genus","ZOTU","Morphology_MBOA","Well_Plate"
"1","LAC11_m","LAC11",2,"G","G2",1,"metabolite_plate","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxellaceae","ZOTU3257","pale_red","G2_metabolite_plate"
"2","LAC11_m","LAC11",3,"E","E3",2,"metabolite_plate","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxellaceae","ZOTU3257","pale_red","E3_metabolite_plate"
"3","LAC11_m","LAC11",6,"G","G6",3,"metabolite_plate","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxellaceae","ZOTU3257","pale_red","G6_metabolite_plate"
"4","LAC11_m","LAC11",9,"E","E9",4,"metabolite_plate","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxellaceae","ZOTU3257","pale_red","E9_metabolite_plate"
"5","LAC11_m","LAC11",12,"G","G12",5,"metabolite_plate","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxellaceae","ZOTU3257","pale_red","G12_metabolite_plate"
"6","LBA112_m","LBA112",5,"A","A5",2,"metabolite_plate","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU1321","NR","A5_metabolite_plate"
"7","LBA112_m","LBA112",7,"C","C7",2,"metabolite_plate","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU1321","NR","C7_metabolite_plate"
"8","LBA112_m","LBA112",7,"F","F7",3,"metabolite_plate","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU1321","NR","F7_metabolite_plate"
"9","LBA112_m","LBA112",8,"F","F8",4,"metabolite_plate","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU1321","NR","F8_metabolite_plate"
"10","LBA112_m","LBA112",9,"A","A9",5,"metabolite_plate","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU1321","NR","A9_metabolite_plate"
