"","#","Name","Type","Std_conc","RT","Area","IS Area","Response","Detection Flags","ng/mL","%Dev","Compound"
"1","16","LMB2_M","Analyte","0","2.65","4.353",0,"4.353","db","6.7","0","MBOA-Glc"
"2","17","LBA112_B","Analyte","0","2.60","5.669",0,"5.669","MM","7.5","0","MBOA-Glc"
"3","38","LMB2_D","Analyte","0","2.65","2.839",0,"2.839","bb","5.7","0","MBOA-Glc"
"4","40","LRC7.O_B","Analyte","0","2.64","10.469",0,"10.469","bb","10.7","0","MBOA-Glc"
"5","42","LBA112_M","Analyte","0","0","0",0,"0","0","0","0","MBOA-Glc"
"6","46","LAC11_M","Analyte","0","0","0",0,"0","0","0","0","MBOA-Glc"
"7","47","LAC11_D","Analyte","0","2.63","4.367",0,"4.367","bb","6.7","0","MBOA-Glc"
"8","56","LMB2_B","Analyte","0","0","0",0,"0","0","0","0","MBOA-Glc"
"9","59","LMX9_M","Analyte","0","2.65","2.210",0,"2.210","db","5.3","0","MBOA-Glc"
"10","61","LMX9_D","Analyte","0","0","0",0,"0","0","0","0","MBOA-Glc"
"11","62","NBC_M","Analyte","0","0","0",0,"0","0","0","0","MBOA-Glc"
"12","64","LAC11_B","Analyte","0","0","0",0,"0","0","0","0","MBOA-Glc"
"13","82","LMI1x_M","Analyte","0","0","0",0,"0","0","0","0","MBOA-Glc"
"14","84","LME3_B","Analyte","0","2.65","5.033",0,"5.033","db","7.1","0","MBOA-Glc"
"15","88","NBC_D","Analyte","0","2.58","6.418",0,"6.418","bb","8.0","0","MBOA-Glc"
"16","91","LRC7.O_D","Analyte","0","2.58","5.439",0,"5.439","bb","7.4","0","MBOA-Glc"
"17","93","LBA112_D","Analyte","0","2.64","2.530",0,"2.530","db","5.5","0","MBOA-Glc"
"18","94","LMD1_D","Analyte","0","0","0",0,"0","0","0","0","MBOA-Glc"
"19","100","LSP13_B","Analyte","0","2.65","5.583",0,"5.583","bb","7.5","0","MBOA-Glc"
"20","103","LMI1x_D","Analyte","0","0","0",0,"0","0","0","0","MBOA-Glc"
"21","108","LSP13_M","Analyte","0","2.62","4.619",0,"4.619","bb","6.8","0","MBOA-Glc"
"22","110","LSP13_D","Analyte","0","2.64","2.584",0,"2.584","bb","5.5","0","MBOA-Glc"
"23","122","LMD1_B","Analyte","0","2.57","2.453",0,"2.453","bb","5.4","0","MBOA-Glc"
"24","123","NBC_B","Analyte","0","2.58","3.082",0,"3.082","bb","5.8","0","MBOA-Glc"
"25","124","LRC7.O_M","Analyte","0","2.58","2.276",0,"2.276","bb","5.3","0","MBOA-Glc"
"26","128","LMD1_M","Analyte","0","0","0",0,"0","0","0","0","MBOA-Glc"
"27","131","LMX9_B","Analyte","0","2.60","3.698",0,"3.698","bb","6.2","0","MBOA-Glc"
"28","134","LMI1x_B","Analyte","0","0","0",0,"0","0","0","0","MBOA-Glc"
"29","137","LME3_M","Analyte","0","2.57","3.038",0,"3.038","bb","5.8","0","MBOA-Glc"
"30","139","LME3_D","Analyte","0","2.57","7.598",0,"7.598","bb","8.8","0","MBOA-Glc"
"31","16","LMB2_M","Analyte","0","0","0",0,"0","0","0","0","HMPMA"
"32","17","LBA112_B","Analyte","0","0","0",0,"0","0","0","0","HMPMA"
"33","38","LMB2_D","Analyte","0","2.76","2.967",0,"2.967","bd","4.3","0","HMPMA"
"34","40","LRC7.O_B","Analyte","0","0","0",0,"0","0","0","0","HMPMA"
"35","42","LBA112_M","Analyte","0","0","0",0,"0","0","0","0","HMPMA"
"36","46","LAC11_M","Analyte","0","0","0",0,"0","0","0","0","HMPMA"
"37","47","LAC11_D","Analyte","0","0","0",0,"0","0","0","0","HMPMA"
"38","56","LMB2_B","Analyte","0","0","0",0,"0","0","0","0","HMPMA"
"39","59","LMX9_M","Analyte","0","0","0",0,"0","0","0","0","HMPMA"
"40","61","LMX9_D","Analyte","0","0","0",0,"0","0","0","0","HMPMA"
"41","62","NBC_M","Analyte","0","0","0",0,"0","0","0","0","HMPMA"
"42","64","LAC11_B","Analyte","0","0","0",0,"0","0","0","0","HMPMA"
"43","82","LMI1x_M","Analyte","0","0","0",0,"0","0","0","0","HMPMA"
"44","84","LME3_B","Analyte","0","0","0",0,"0","0","0","0","HMPMA"
"45","88","NBC_D","Analyte","0","0","0",0,"0","0","0","0","HMPMA"
"46","91","LRC7.O_D","Analyte","0","0","0",0,"0","0","0","0","HMPMA"
"47","93","LBA112_D","Analyte","0","2.65","2.693",0,"2.693","bb","4.1","0","HMPMA"
"48","94","LMD1_D","Analyte","0","0","0",0,"0","0","0","0","HMPMA"
"49","100","LSP13_B","Analyte","0","0","0",0,"0","0","0","0","HMPMA"
"50","103","LMI1x_D","Analyte","0","0","0",0,"0","0","0","0","HMPMA"
"51","108","LSP13_M","Analyte","0","2.83","7.009",0,"7.009","bb","6.3","0","HMPMA"
"52","110","LSP13_D","Analyte","0","2.83","4.747",0,"4.747","bb","5.2","0","HMPMA"
"53","122","LMD1_B","Analyte","0","2.83","4.054",0,"4.054","bb","4.8","0","HMPMA"
"54","123","NBC_B","Analyte","0","0","0",0,"0","0","0","0","HMPMA"
"55","124","LRC7.O_M","Analyte","0","0","0",0,"0","0","0","0","HMPMA"
"56","128","LMD1_M","Analyte","0","0","0",0,"0","0","0","0","HMPMA"
"57","131","LMX9_B","Analyte","0","0","0",0,"0","0","0","0","HMPMA"
"58","134","LMI1x_B","Analyte","0","0","0",0,"0","0","0","0","HMPMA"
"59","137","LME3_M","Analyte","0","0","0",0,"0","0","0","0","HMPMA"
"60","139","LME3_D","Analyte","0","2.82","4.890",0,"4.890","bb","5.2","0","HMPMA"
"61","16","LMB2_M","Analyte","0","0","0",0,"0","0","0","0","DIMBOA-Glc"
"62","17","LBA112_B","Analyte","0","2.70","4.363",0,"4.363","db","4.5","0","DIMBOA-Glc"
"63","38","LMB2_D","Analyte","0","0","0",0,"0","0","0","0","DIMBOA-Glc"
"64","40","LRC7.O_B","Analyte","0","0","0",0,"0","0","0","0","DIMBOA-Glc"
"65","42","LBA112_M","Analyte","0","2.73","2.238",0,"2.238","bb","0.6","0","DIMBOA-Glc"
"66","46","LAC11_M","Analyte","0","0","0",0,"0","0","0","0","DIMBOA-Glc"
"67","47","LAC11_D","Analyte","0","0","0",0,"0","0","0","0","DIMBOA-Glc"
"68","56","LMB2_B","Analyte","0","2.69","3.987",0,"3.987","bb","3.8","0","DIMBOA-Glc"
"69","59","LMX9_M","Analyte","0","0","0",0,"0","0","0","0","DIMBOA-Glc"
"70","61","LMX9_D","Analyte","0","0","0",0,"0","0","0","0","DIMBOA-Glc"
"71","62","NBC_M","Analyte","0","2.66","2.239",0,"2.239","bb","0.6","0","DIMBOA-Glc"
"72","64","LAC11_B","Analyte","0","2.68","4.399",0,"4.399","bb","4.5","0","DIMBOA-Glc"
"73","82","LMI1x_M","Analyte","0","0","0",0,"0","0","0","0","DIMBOA-Glc"
"74","84","LME3_B","Analyte","0","0","0",0,"0","0","0","0","DIMBOA-Glc"
"75","88","NBC_D","Analyte","0","0","0",0,"0","0","0","0","DIMBOA-Glc"
"76","91","LRC7.O_D","Analyte","0","2.68","2.465",0,"2.465","bd","1.0","0","DIMBOA-Glc"
"77","93","LBA112_D","Analyte","0","0","0",0,"0","0","0","0","DIMBOA-Glc"
"78","94","LMD1_D","Analyte","0","0","0",0,"0","0","0","0","DIMBOA-Glc"
"79","100","LSP13_B","Analyte","0","2.65","3.990",0,"3.990","bb","3.8","0","DIMBOA-Glc"
"80","103","LMI1x_D","Analyte","0","0","0",0,"0","0","0","0","DIMBOA-Glc"
"81","108","LSP13_M","Analyte","0","0","0",0,"0","0","0","0","DIMBOA-Glc"
"82","110","LSP13_D","Analyte","0","0","0",0,"0","0","0","0","DIMBOA-Glc"
"83","122","LMD1_B","Analyte","0","2.68","3.706",0,"3.706","bb","3.3","0","DIMBOA-Glc"
"84","123","NBC_B","Analyte","0","2.67","2.408",0,"2.408","bb","0.9","0","DIMBOA-Glc"
"85","124","LRC7.O_M","Analyte","0","0","0",0,"0","0","0","0","DIMBOA-Glc"
"86","128","LMD1_M","Analyte","0","0","0",0,"0","0","0","0","DIMBOA-Glc"
"87","131","LMX9_B","Analyte","0","2.69","2.497",0,"2.497","bb","1.1","0","DIMBOA-Glc"
"88","134","LMI1x_B","Analyte","0","0","0",0,"0","0","0","0","DIMBOA-Glc"
"89","137","LME3_M","Analyte","0","0","0",0,"0","0","0","0","DIMBOA-Glc"
"90","139","LME3_D","Analyte","0","2.62","4.050",0,"4.050","bb","3.9","0","DIMBOA-Glc"
"91","16","LMB2_M","Analyte","0","0","0",0,"0","0","0","0","HMBOA"
"92","17","LBA112_B","Analyte","0","0","0",0,"0","0","0","0","HMBOA"
"93","38","LMB2_D","Analyte","0","0","0",0,"0","0","0","0","HMBOA"
"94","40","LRC7.O_B","Analyte","0","3.00","2.014",0,"2.014","dbI","0.0","0","HMBOA"
"95","42","LBA112_M","Analyte","0","0","0",0,"0","0","0","0","HMBOA"
"96","46","LAC11_M","Analyte","0","0","0",0,"0","0","0","0","HMBOA"
"97","47","LAC11_D","Analyte","0","0","0",0,"0","0","0","0","HMBOA"
"98","56","LMB2_B","Analyte","0","0","0",0,"0","0","0","0","HMBOA"
"99","59","LMX9_M","Analyte","0","0","0",0,"0","0","0","0","HMBOA"
"100","61","LMX9_D","Analyte","0","0","0",0,"0","0","0","0","HMBOA"
"101","62","NBC_M","Analyte","0","0","0",0,"0","0","0","0","HMBOA"
"102","64","LAC11_B","Analyte","0","0","0",0,"0","0","0","0","HMBOA"
"103","82","LMI1x_M","Analyte","0","0","0",0,"0","0","0","0","HMBOA"
"104","84","LME3_B","Analyte","0","0","0",0,"0","0","0","0","HMBOA"
"105","88","NBC_D","Analyte","0","0","0",0,"0","0","0","0","HMBOA"
"106","91","LRC7.O_D","Analyte","0","0","0",0,"0","0","0","0","HMBOA"
"107","93","LBA112_D","Analyte","0","2.97","2.174",0,"2.174","bdI","0.0","0","HMBOA"
"108","94","LMD1_D","Analyte","0","0","0",0,"0","0","0","0","HMBOA"
"109","100","LSP13_B","Analyte","0","2.99","3.346",0,"3.346","bbI","0.0","0","HMBOA"
"110","103","LMI1x_D","Analyte","0","0","0",0,"0","0","0","0","HMBOA"
"111","108","LSP13_M","Analyte","0","0","0",0,"0","0","0","0","HMBOA"
"112","110","LSP13_D","Analyte","0","0","0",0,"0","0","0","0","HMBOA"
"113","122","LMD1_B","Analyte","0","0","0",0,"0","0","0","0","HMBOA"
"114","123","NBC_B","Analyte","0","0","0",0,"0","0","0","0","HMBOA"
"115","124","LRC7.O_M","Analyte","0","0","0",0,"0","0","0","0","HMBOA"
"116","128","LMD1_M","Analyte","0","2.99","2.714",0,"2.714","bdI","0.0","0","HMBOA"
"117","131","LMX9_B","Analyte","0","0","0",0,"0","0","0","0","HMBOA"
"118","134","LMI1x_B","Analyte","0","0","0",0,"0","0","0","0","HMBOA"
