"","X","X.","Name","Type","Std..Conc","RT","Area","IS.Area","Response","Detection.Flags","ng.mL","X.Dev","Compound","X0","Treat"
"1",1,1,"20220203_MH_LT_Microbact_metabolites_Blank_01","Blank",0,0,0,0,0,"0",0,0,"MBOA-Glc",0,NA
"2",2,1,"20220203_MH_LT_Microbact_metabolites_Blank_01","Blank",0,0,0,0,0,"0",0,0,"HMPMA",0,NA
"3",3,1,"20220203_MH_LT_Microbact_metabolites_Blank_01","Blank",0,0,0,0,0,"0",0,0,"DIMBOA-Glc",0,NA
"4",4,1,"20220203_MH_LT_Microbact_metabolites_Blank_01","Blank",0,0,0,0,0,"0",0,0,"HMBOA",0,NA
"5",5,1,"20220203_MH_LT_Microbact_metabolites_Blank_01","Blank",0,0,0,0,0,"0",0,0,"DIMBOA",0,NA
"6",6,1,"20220203_MH_LT_Microbact_metabolites_Blank_01","Blank",0,0,0,0,0,"0",0,0,"BOA",0,NA
"7",7,1,"20220203_MH_LT_Microbact_metabolites_Blank_01","Blank",0,0,0,0,0,"0",0,0,"HDMBOA-Glc",0,NA
"8",8,1,"20220203_MH_LT_Microbact_metabolites_Blank_01","Blank",0,0,0,0,0,"0",0,0,"MBOA",0,NA
"9",9,1,"20220203_MH_LT_Microbact_metabolites_Blank_01","Blank",0,0,0,0,0,"0",0,0,"APO",0,NA
"10",10,1,"20220203_MH_LT_Microbact_metabolites_Blank_01","Blank",0,0,0,0,0,"0",0,0,"AMPO",0,NA
"11",11,1,"20220203_MH_LT_Microbact_metabolites_Blank_01","Blank",0,0,0,0,0,"0",0,0,"AAMPO",0,NA
"12",12,1,"20220203_MH_LT_Microbact_metabolites_Blank_01","Blank",0,0,0,0,0,"0",0,0,"HBOA-Glc",0,NA
"13",13,1,"20220203_MH_LT_Microbact_metabolites_Blank_01","Blank",0,0,0,0,0,"0",0,0,"DIBOA-Glc",0,NA
"14",14,1,"20220203_MH_LT_Microbact_metabolites_Blank_01","Blank",0,0,0,0,0,"0",0,0,"HMBOA-Glc",0,NA
