"","Nr","Sample","Strain","Treatment","random"
"1",1,"LMI1_G","LMI1","G",0.665622128054424
"2",4,"LWS13_G","LWS13","G",0.361753125306271
"3",5,"LWO14_G","LWO14","G",0.236879112295794
"4",6,"Leaf203_G","Leaf203","G",0.530154834280239
"5",8,"LWO14_D","LWO14","D",0.559247110260235
"6",9,"LWH3_D","LWH3","D",0.697438914038349
"7",10,"Leaf171_G","Leaf171","G",0.918935258001339
"8",11,"LWO12_G","LWO12","G",0.128908489667019
"9",12,"LMI1x_D","LMI1x","D",0.421959974973792
"10",13,"LMI12_G","LMI12","G",0.839180374526976
"11",14,"Root61_D","Root61","D",0.587565634661343
"12",15,"LMI13_G","LMI13","G",0.536978549338153
"13",19,"LMB2_G","LMB2","G",0.0736802988783994
"14",20,"LWO12_D","LWO12","D",0.744716481090581
"15",21,"LMI13_D","LMI13","D",0.265786856072681
"16",22,"LMI11_D","LMI11","D",0.293811373486947
"17",23,"LWH13_G","LWH13","G",0.838154791509857
"18",24,"Leaf314_D","Leaf314","D",0.788960946254907
"19",25,"LWH10_D","LWH10","D",0.638054195764097
"20",27,"Leaf179_D","Leaf179","D",0.400602673263758
"21",29,"LMI1x_G","LMI1x","G",0.963766553797141
"22",30,"Root322_D","Root322","D",0.633369418590807
"23",32,"LMS4_G","LMS4","G",0.991942109205421
"24",34,"Leaf161_D","Leaf161","D",0.0788904837618416
"25",35,"LWO13_D","LWO13","D",0.0547699383426555
"26",36,"Leaf203_D","Leaf203","D",0.956764171724535
"27",43,"LWH12_G","LWH12","G",0.662547576543411
"28",44,"LWH7_G","LWH7","G",0.578678611615564
"29",45,"LMI1_D","LMI1","D",0.839014680078576
"30",46,"Leaf151_D","Leaf151","D",0.554577680563405
"31",49,"LMS4_D","LMS4","D",0.647502275086928
"32",50,"Root53_D","Root53","D",0.35975304977247
"33",51,"LWH12_D","LWH12","D",0.463153556988769
"34",52,"LWH11_D","LWH11","D",0.715225090865199
"35",53,"Leaf320_D","Leaf320","D",0.624789285001515
"36",54,"Root322_G","Root322","G",0.537513516230749
"37",55,"Leaf151_G","Leaf151","G",0.785423018863795
"38",56,"LMX7_D","LMX7","D",0.40300387908704
"39",57,"LWO13_G","LWO13","G",0.866262532151934
"40",58,"Leaf1_D","Leaf1","D",0.572191577063869
"41",59,"Leaf288_D","Leaf288","D",0.120004289257362
"42",61,"Leaf314_G","Leaf314","G",0.69997862362682
"43",63,"Root280D1_G","Root280D1","G",0.837812181627685
"44",65,"Leaf159_D","Leaf159","D",0.0256613181676297
"45",68,"LWH7_D","LWH7","D",0.963513998002665
"46",69,"LMX7_G","LMX7","G",0.608663114182545
"47",70,"Leaf161_G","Leaf161","G",0.174873387484748
"48",71,"LWH13_D","LWH13","D",0.0826483897788712
"49",72,"Leaf179_G","Leaf179","G",0.379654864283522
"50",74,"Leaf288_G","Leaf288","G",0.124090360797756
"51",75,"Root166_G","Root166","G",0.781580628580015
"52",76,"LWH10_G","LWH10","G",0.405236730642237
"53",80,"LWS13_D","LWS13","D",0.708763064590834
"54",83,"T0_G","T0","G",0.847777827224653
"55",84,"NBC_G","NBC","G",0.148032810162981
"56",85,"LM3X_G","LM3X","G",0.268490185228835
"57",86,"LTA6_G","LTA6","G",0.27813791664826
"58",87,"LM3X_D","LM3X","D",0.189903914318584
"59",88,"Leaf171_D","Leaf171","D",0.603130774282668
"60",89,"LTA6_D","LTA6","D",0.925362556558207
"61",90,"LMB2_D","LMB2","D",0.0372824453608629
"62",91,"Root166_D","Root166","D",0.623140989313772
"63",92,"LWH3_G","LWH3","G",0.689743548933742
"64",93,"Leaf159_G","Leaf159","G",0.736584547782074
"65",94,"LBN7_G","LBN7","G",0.601958959710024
"66",95,"Leaf1_G","Leaf1","G",0.176438688218355
"67",97,"LMI11_G","LMI11","G",0.0932748097649412
"68",99,"Root1433D1_D","Root1433D1","D",0.889370721824462
"69",100,"LBN7_D","LBN7","D",0.593608068662367
"70",101,"Root1433D1_G","Root1433D1","G",0.991130284394596
"71",102,"LMI12_D","LMI12","D",0.427156497395016
"72",104,"Leaf436_D","Leaf436","D",0.520339157830957
"73",105,"Root61_G","Root61","G",0.297437788946215
"74",108,"Leaf436_G","Leaf436","G",0.0670330631567886
"75",110,"LWH11_G","LWH11","G",0.916948120283919
"76",112,"Root53_G","Root53","G",0.979045783907673
"77",115,"Leaf320_G","Leaf320","G",0.299778978236217
"78",116,"Root280D1_D","Root280D1","D",0.946069945314891
"79",119,"NBC_D","NBC","D",0.411333384428787
"80",120,"T0_D","T0","D",0.534450007879316
"81",121,"Blank","Blank","NA",0.374794320164651
"82",122,"Pool_1","Pool","NA",0.702628181866711
"83",123,"Pool_2","Pool","NA",0.0774946697736363
