Nr,Sample_ID,Strain,Treat,Replicate,Treatment,Random
2,LMB2_D_7,LMB2,D,7,DMSO,0.209768665
3,LMB2_D_3,LMB2,D,3,DMSO,0.518634681
6,LMB2_D_6,LMB2,D,6,DMSO,0.902668584
7,NBC_M_1,NBC,M,1,MBOA,0.484470891
8,To_M_1,To,M,1,MBOA,0.008680173
9,LMB2_M_2,LMB2,M,2,MBOA,0.514361369
11,NBC_D_3,NBC,D,3,DMSO,0.620299736
13,NBC_M_2,NBC,M,2,MBOA,0.927977403
14,NBC_D_2,NBC,D,2,DMSO,0.391543735
21,LMB2_M_7,LMB2,M,7,MBOA,0.307477138
22,LMB2_M_4,LMB2,M,4,MBOA,0.037859623
24,LMB2_M_1,LMB2,M,1,MBOA,0.693899924
25,NBC_M_3,NBC,M,3,MBOA,0.183271865
26,LMB2_D_2,LMB2,D,2,DMSO,0.707854371
28,LMB2_M_6,LMB2,M,6,MBOA,0.066232884
31,LMB2_M_3,LMB2,M,3,MBOA,0.18995708
34,To_D_1,To,D,1,DMSO,0.629440713
39,LMB2_D_4,LMB2,D,4,DMSO,0.222221706
44,NBC_D_1,NBC,D,1,DMSO,0.986224946
45,LMB2_D_1,LMB2,D,1,DMSO,0.192816542
47,LMB2_D_5,LMB2,D,5,DMSO,0.837090764
48,LMB2_M_5,LMB2,M,5,MBOA,0.930045073
50,Blank,no,no,,MeOH,0.23043129
