Sample_Nr	Sample_Name	Timepoint	Strain_Nr	LSP13_genotype	MBOA_uM	Set	Comment
1	Pool						Pool of all samples
3	TP24_7_0	TP24	7	NBC	0	AW038	
5	TP24_1_500	TP24	1	wt	500	AW038	
6	TP24_5_500	TP24	5	?2921?2227?3006 #1.1	500	AW038	
9	TP24_1_0	TP24	1	wt	0	AW038	
11	TP24_5_0	TP24	5	?2921?2227?3006 #1.1	0	AW038	
14	TP48_1_500	TP48	1	wt	500	23CMP12	
16	TP8_5_0	TP8	5	?2921?2227?3006 #1.1	0	AW038	
17	TP48_5_500	TP48	5	?2921?2227?3006 #1.1	500	23CMP12	
19	TP48_5_0	TP48	5	?2921?2227?3006 #1.1	0	23CMP12	
20	TP8_7_0	TP8	7	NBC	0	AW038	
21	TP8_5_500	TP8	5	?2921?2227?3006 #1.1	500	AW038	
22	BLANK						70%MeOH 0.1%FA
23	TP48_7_500	TP48	7	NBC	500	23CMP12	
27	TP8_7_500	TP8	7	NBC	500	AW038	
30	TP24_7_500	TP24	7	NBC	500	AW038	
31	TP48_7_0	TP48	7	NBC	0	23CMP12	
34	TP48_1_0	TP48	1	wt	0	23CMP12	
38	TP8_1_500	TP8	1	wt	500	AW038	
42	TP8_1_0	TP8	1	wt	0	AW038	
